#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-06-29 07:35:42
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-06-29 09:23:15 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 95.79.117.218 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 http://elainesamworth.org/wp-login.php elainesamworth.org 200 0 0 2159 482 453
2020-06-29 09:26:28 W3SVC1222 JASMINE 143.95.251.7 GET /wp-login.php - 80 - 188.170.75.126 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 - elainesamworth.org 200 0 0 1731 180 484
2020-06-29 09:26:29 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 188.170.75.126 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 http://elainesamworth.org/wp-login.php elainesamworth.org 200 0 0 2159 476 484
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-06-29 10:21:40
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-06-29 10:21:40 W3SVC1222 JASMINE 143.95.251.7 GET /wp-login.php - 80 - 176.59.39.53 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 - elainesamworth.org 200 0 0 1731 180 4359
2020-06-29 10:21:41 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 176.59.39.53 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 http://elainesamworth.org/wp-login.php elainesamworth.org 200 0 0 2159 487 578
2020-06-29 10:21:42 W3SVC1222 JASMINE 143.95.251.7 POST /wp-cron.php doing_wp_cron=1593426099.4829599857330322265625 80 - 143.95.251.7 WordPress/4.9.15;+http://elainesamworth.org http://elainesamworth.org/wp-cron.php?doing_wp_cron=1593426099.4829599857330322265625 elainesamworth.org 200 0 64 0 389 3067
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-06-29 10:58:29
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-06-29 10:58:28 W3SVC1222 JASMINE 143.95.251.7 GET /wp-login.php - 80 - 109.194.117.167 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 - elainesamworth.org 200 0 0 1731 180 4343
2020-06-29 10:58:28 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 109.194.117.167 Mozilla/5.0+(Windows+NT+6.0;+rv:34.0)+Gecko/20100101+Firefox/34.0 http://elainesamworth.org/wp-login.php elainesamworth.org 200 0 0 2159 485 547
