#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-04-18 00:04:09
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-04-18 00:04:09 W3SVC1222 JASMINE 143.95.251.7 GET /wp-login.php - 80 - 212.32.226.16 Mozilla/5.0+(Windows+NT+5.1;+rv:29.0)+Gecko/20100101+Firefox/29.0 - elainesamworth.org 200 0 0 2720 248 359
2020-04-18 00:04:09 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 212.32.226.16 Mozilla/5.0+(Windows+NT+5.1;+rv:29.0)+Gecko/20100101+Firefox/29.0 - elainesamworth.org 200 0 0 3719 411 343
2020-04-18 00:05:10 W3SVC1222 JASMINE 143.95.251.7 GET /wp-login.php - 80 - 212.32.226.16 Mozilla/5.0+(Windows+NT+5.1;+rv:29.0)+Gecko/20100101+Firefox/29.0 - elainesamworth.org 200 0 0 2720 248 343
2020-04-18 00:05:10 W3SVC1222 JASMINE 143.95.251.7 POST /wp-login.php - 80 - 212.32.226.16 Mozilla/5.0+(Windows+NT+5.1;+rv:29.0)+Gecko/20100101+Firefox/29.0 - elainesamworth.org 200 0 0 3719 408 343
2020-04-18 00:07:23 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 767 1656
2020-04-18 00:07:27 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 761 1625
2020-04-18 00:07:30 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 763 1843
2020-04-18 00:07:34 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 765 2000
2020-04-18 00:07:38 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 769 1984
2020-04-18 00:07:41 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 767 1562
2020-04-18 00:07:44 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 765 1703
2020-04-18 00:07:48 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 769 1906
2020-04-18 00:07:51 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 760 1734
2020-04-18 00:07:54 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 765 1890
2020-04-18 00:07:58 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 767 1718
2020-04-18 00:08:01 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 768 2031
2020-04-18 00:08:05 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 762 2093
2020-04-18 00:08:09 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 763 1828
2020-04-18 00:08:12 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 85.206.165.62 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/80.0.3987.149+Safari/537.36 - elainesamworth.org 200 0 0 592 765 2062
