#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-05-18 04:27:29
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-05-18 05:33:37 W3SVC1222 JASMINE 143.95.251.7 POST /wp-cron.php doing_wp_cron=1589780013.6349539756774902343750 80 - 143.95.251.7 WordPress/4.9.14;+http://elainesamworth.org http://elainesamworth.org/wp-cron.php?doing_wp_cron=1589780013.6349539756774902343750 elainesamworth.org 200 0 64 0 389 4078
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-05-18 08:04:32
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-05-18 08:04:32 W3SVC1222 JASMINE 143.95.251.7 POST / - 80 - 167.88.7.134 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - elainesamworth.org 200 0 64 0 2070 6093
2020-05-18 08:04:36 W3SVC1222 JASMINE 143.95.251.7 POST /wp-cron.php doing_wp_cron=1589789071.7588679790496826171875 80 - 143.95.251.7 WordPress/4.9.14;+http://elainesamworth.org http://elainesamworth.org/wp-cron.php?doing_wp_cron=1589789071.7588679790496826171875 elainesamworth.org 200 0 64 0 389 4718
2020-05-18 08:04:43 W3SVC1222 JASMINE 143.95.251.7 POST / - 80 - 185.220.100.253 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - elainesamworth.org 200 0 0 23786 2070 812
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-05-18 13:10:44
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-05-18 13:10:43 W3SVC1222 JASMINE 143.95.251.7 GET / - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 55018 320 5640
2020-05-18 13:10:43 W3SVC1222 JASMINE 143.95.251.7 GET / author=1 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 301 0 0 407 331 499
2020-05-18 13:10:44 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 162373 718
2020-05-18 13:10:46 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 162075 796
2020-05-18 13:10:47 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 161767 828
2020-05-18 13:10:47 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 161603 874
2020-05-18 13:10:48 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 161720 906
2020-05-18 13:10:49 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 107381 161915 828
2020-05-18 13:10:49 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 437
2020-05-18 13:10:50 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 453
2020-05-18 13:10:50 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 766 468
2020-05-18 13:10:51 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 421
2020-05-18 13:10:51 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 761 437
2020-05-18 13:10:51 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 763 437
2020-05-18 13:10:53 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 421
2020-05-18 13:10:53 W3SVC1222 JASMINE 143.95.251.7 POST /wp-cron.php doing_wp_cron=1589807443.0075879096984863281250 80 - 143.95.251.7 WordPress/4.9.14;+http://elainesamworth.org http://elainesamworth.org/wp-cron.php?doing_wp_cron=1589807443.0075879096984863281250 elainesamworth.org 200 0 64 0 389 10265
2020-05-18 13:10:53 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 421
2020-05-18 13:10:54 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 421
2020-05-18 13:10:54 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 421
2020-05-18 13:10:54 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 760 421
2020-05-18 13:10:55 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 421
2020-05-18 13:10:55 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 421
2020-05-18 13:10:56 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 768 421
2020-05-18 13:10:56 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 762 421
2020-05-18 13:10:56 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 763 421
